#,Company,Symbol,Weight
1,NVIDIA Corp,NVDA,8.16%
2,Apple Inc,AAPL,7.37%
3,Microsoft Corp,MSFT,5.86%
4,Amazon.com Inc,AMZN,4.56%
5,Alphabet Inc Class A,GOOGL,3.28%
6,Alphabet Inc Class C,GOOG,3.04%
7,Space Exploration Technologies Corp,SPCX,1.16%
8,Broadcom Inc,AVGO,2.75%
9,Meta Platforms Inc,META,2.68%
10,Tesla Inc,TSLA,2.82%
11,Micron Technology Inc,MU,4.58%
12,Walmart Inc,WMT,2.32%
13,Advanced Micro Devices Inc,AMD,3.33%
14,ASML Holding NV,ASML,0.71%
15,Intel Corp,INTC,1.96%
16,Cisco Systems Inc,CSCO,1.94%
17,Costco Wholesale Corp,COST,1.92%
18,Palantir Technologies Inc,PLTR,1.80%
19,Lam Research Corp,LRCX,1.73%
20,Applied Materials Inc,AMAT,1.72%
21,Netflix Inc,NFLX,1.50%
22,Palo Alto Networks Inc,PANW,1.28%
23,ARM Holdings PLC,ARM,0.45%
24,Amgen Inc,AMGN,1.08%
25,KLA Corp,KLAC,1.06%
26,Texas Instruments Inc,TXN,1.05%
27,Linde PLC,LIN,1.01%
28,Sandisk Corp,SNDK,0.99%
29,Marvell Technology Inc,MRVL,0.90%
30,PepsiCo Inc,PEP,0.88%
31,T-Mobile US Inc,TMUS,0.88%
32,Crowdstrike Holdings Inc,CRWD,0.87%
33,Shopify Inc,SHOP,0.82%
34,Gilead Sciences Inc,GILD,0.81%
35,Analog Devices Inc,ADI,0.81%
36,Seagate Technology Holdings PLC,STX,0.80%
37,QUALCOMM Inc,QCOM,0.75%
38,Booking Holdings Inc,BKNG,0.74%
39,Western Digital Corp,WDC,0.67%
40,Vertex Pharmaceuticals Inc,VRTX,0.62%
41,Intuitive Surgical Inc,ISRG,0.59%
42,PDD Holdings Inc,PDD,0.26%
43,Starbucks Corp,SBUX,0.55%
44,Automatic Data Processing Inc,ADP,0.51%
45,Airbnb Inc,ABNB,0.35%
46,Fortinet Inc,FTNT,0.50%
47,Adobe Inc,ADBE,0.50%
48,Intuit Inc,INTU,0.45%
49,AppLovin Corp,APP,0.41%
50,DoorDash Inc,DASH,0.42%
51,MercadoLibre Inc,MELI,0.44%
52,Constellation Energy Corp,CEG,0.44%
53,Comcast Corp,CMCSA,0.43%
54,Monster Beverage Corp,MNST,0.43%
55,CSX Corp,CSX,0.43%
56,Marriott International Inc/MD,MAR,0.42%
57,Cadence Design Systems Inc,CDNS,0.39%
58,Regeneron Pharmaceuticals Inc,REGN,0.38%
59,Cintas Corp,CTAS,0.37%
60,Mondelez International Inc,MDLZ,0.37%
61,Datadog Inc,DDOG,0.33%
62,Ross Stores Inc,ROST,0.35%
63,Synopsys Inc,SNPS,0.34%
64,Lumentum Holdings Inc,LITE,0.29%
65,O'Reilly Automotive Inc,ORLY,0.34%
66,Warner Bros Discovery Inc,WBD,0.32%
67,PACCAR Inc,PCAR,0.31%
68,Honeywell International Inc,HON,0.30%
69,American Electric Power Co Inc,AEP,0.30%
70,Monolithic Power Systems Inc,MPWR,0.28%
71,Baker Hughes Co,BKR,0.27%
72,Fastenal Co,FAST,0.26%
73,Diamondback Energy Inc,FANG,0.26%
74,Nebius Group NV,NBIS,0.21%
75,Teradyne Inc,TER,0.26%
76,NXP Semiconductors NV,NXPI,0.25%
77,Autodesk Inc,ADSK,0.24%
78,PayPal Holdings Inc,PYPL,0.24%
79,Honeywell Aerospace Inc,HONA,0.23%
80,Workday Inc,WDAY,0.18%
81,Strategy Inc,MSTR,0.18%
82,Coca-Cola Europacific Partners PLC,CCEP,0.22%
83,Axon Enterprise Inc,AXON,0.22%
84,Xcel Energy Inc,XEL,0.22%
85,Astera Labs Inc,ALAB,0.21%
86,CoreWeave Inc,CRWV,0.17%
87,Thomson Reuters Corp,TRI,0.19%
88,Exelon Corp,EXC,0.20%
89,Ferrovial NV,FER,0.20%
90,Paychex Inc,PAYX,0.20%
91,Keurig Dr Pepper Inc,KDP,0.20%
92,IDEXX Laboratories Inc,IDXX,0.20%
93,Take-Two Interactive Software Inc,TTWO,0.19%
94,Rocket Lab Corp,RKLB,0.18%
95,Old Dominion Freight Line Inc,ODFL,0.19%
96,Roper Technologies Inc,ROP,0.19%
97,Microchip Technology Inc,MCHP,0.18%
98,Dexcom Inc,DXCM,0.16%
99,GE HealthCare Technologies Inc,GEHC,0.15%
100,Alnylam Pharmaceuticals Inc,ALNY,0.14%
101,Copart Inc,CPRT,0.14%
102,Kraft Heinz Co/The,KHC,0.14%
